#id,enabled / disabled,list of ship types for building,"chance to have, percent",,,type of part,comes in paires (around centerline axis),"group, use same part data for same group",necessary present param of part,put at centerline,put to sides,range-z [-1;+1] define range from back to front of ship,see previos,filtering condition,"additional params:
            delete_unmounted - delete parts of type with no other parts mounted in it;
                scheme(s) - place part only on hulls with specific hulls;
mount(m...), !mount(m...) - demand/exclude types of mounts;
and/or - operation on list of conditions: tag (tag required), !tag (no tag), zero (tech variable is zero), !zero (tech variable is not zero);",,
@name,enabled,shipTypes,chance,min,max,type,paired,group,effect,center,side,rangeZFrom,rangeZTo,condition,param,#,#
default,1,,100,1,1,,,,,f,f,-1,1,,,,
#,,"#bb, bc",,,,,,,,,,,,,,,
"5/tower_main////c///auto_refit, delete_refit",,"bb, bc",15,1,1,tower_main,,,,c,,-1,1,,"auto_refit, delete_refit",,
"6/tower_sec////c///auto_refit, delete_refit",,"bb, bc",15,1,1,tower_sec,,,,c,,-1,1,,"auto_refit, delete_refit",,
"7/funnel////c///auto_refit, delete_refit",,"bb, bc",15,2,100000,funnel,,,,c,,-1,1,,"auto_refit, delete_refit",,
"8/gun///main_center/c//main_cal/auto_refit, delete_refit",,"bb, bc",100,2,100,gun,,,main_center,c,,-1,1,main_cal,"auto_refit, delete_refit",,
"9/gun/p//main_side//s/main_cal/auto_refit, delete_refit",,"bb, bc",100,2,100,gun,p,,main_side,,s,-1,1,main_cal,"auto_refit, delete_refit",,
"10/gun/p////s/sec_cal/auto_refit, delete_refit",,"bb, bc",15,2,100,gun,p,,,,s,-1,1,sec_cal,"auto_refit, delete_refit",,
"11/gun/p////s/sec_cal/auto_refit, delete_refit",,"bb, bc",15,2,100,gun,p,,,,s,-1,1,sec_cal,"auto_refit, delete_refit",,
"12/barbette//b/main_super/c///auto_refit, delete_refit",,"bb, bc",10,1,100,barbette,,b,main_super,c,,-1,1,,"auto_refit, delete_refit",,
"13/torpedo/p////s//auto_refit, delete_refit",,"bb, bc",50,2,100,torpedo,p,,,,s,-1,1,,"auto_refit, delete_refit",,
"14/barbette///////auto_refit, delete_unmounted",,"bb, bc",10,1,100,barbette,,,,,,-1,1,,"auto_refit, delete_unmounted",,
"15/barbette//b/main_super/c///auto_refit, and(tag[barbette_need])",,"bb, bc",,1,1,barbette,,b,main_super,c,,0.11,1,,"auto_refit, and(tag[barbette_need])",,
"16/gun//mc/main_bc_small/c//main_cal/auto_refit, mount(barbette), or(tag[barbette_need])",,"bb, bc",50,1,1,gun,,mc,main_bc_small,c,,0.11,1,main_cal,"auto_refit, mount(barbette), or(tag[barbette_need])",,
"17/gun//mc/main_center/c//main_cal/auto_refit, mount(barbette), or(tag[barbette_need];tag[No_Barb])",,"bb, bc",,1,1,gun,,mc,main_center,c,,0.11,1,main_cal,"auto_refit, mount(barbette), or(tag[barbette_need];tag[No_Barb])",,
"18/tower_main///////auto_refit, and(tag[barbette_need])",,"bb, bc",,1,1,tower_main,,,,,,-1,1,,"auto_refit, and(tag[barbette_need])",,
"19/tower_main///////auto_refit, or(tag[Command_Forward])",,"bb, bc",,1,1,tower_main,,,,,,0.1,1,,"auto_refit, or(tag[Command_Forward])",,
"20/tower_sec///////auto_refit, or(tag[Command_Forward])",,"bb, bc",,1,1,tower_sec,,,,,,-1,-0.1,,"auto_refit, or(tag[Command_Forward])",,
"21/funnel///////auto_refit, or(tag[Command_Forward])",,"bb, bc",,1,2,funnel,,,,,,-1,1,,"auto_refit, or(tag[Command_Forward])",,
"22/gun//mc/main_center/c//main_cal/mount(barbette), or(tag[hullbarbette])",,"bb, bc",,1,1,gun,,mc,main_center,c,,-1,1,main_cal,"mount(barbette), or(tag[hullbarbette])",,
"23/tower_main///////auto_refit, or(tag[hullbarbette])",,"bb, bc",,1,1,tower_main,,,,,,-0.01,1,,"auto_refit, or(tag[hullbarbette])",,
"24/funnel///////auto_refit, or(tag[hullbarbette])",,"bb, bc",,2,2,funnel,,,,,,-1,1,,"auto_refit, or(tag[hullbarbette])",,
"25/tower_sec///////auto_refit, or(tag[hullbarbette])",,"bb, bc",,1,1,tower_sec,,,,,,-1,1,,"auto_refit, or(tag[hullbarbette])",,
"26/barbette///main_super_huge/c///auto_refit, or(tag[hullbarbette])",,"bb, bc",,1,1,barbette,,,main_super_huge,c,,-1,1,,"auto_refit, or(tag[hullbarbette])",,
"27/gun//mc/main_center/c//main_cal/auto_refit, mount(barbette), or(tag[hullbarbette])",,"bb, bc",,1,1,gun,,mc,main_center,c,,-1,0.01,main_cal,"auto_refit, mount(barbette), or(tag[hullbarbette])",,
"28/gun//mc/main_center/c//main_cal/auto_refit, or(tag[hullbarbette])",,"bb, bc",,1,1,gun,,mc,main_center,c,,0.5,1,main_cal,"auto_refit, or(tag[hullbarbette])",,
"29/gun//mc/main_center/c//main_cal/auto_refit, or(tag[hullbarbette])",,"bb, bc",,1,1,gun,,mc,main_center,c,,-1,-0.5,main_cal,"auto_refit, or(tag[hullbarbette])",,
